original_name,drug_name,dose,form
ultra power 7 sachets,ultra power,0,sachets
ultra seas 120ml susp,ultra seas,120 ml,susp
ultra seas syrup 120 ml,ultra seas,120 ml,syrup
ultra sensitive mouth wash,ultra sensitive mouth wash,0,mouth wash
ultra slim 30 caps.,ultra slim,0,caps
ultra tonic 10 cap,ultra tonic,0,cap
ultra vitamin c 500 mg 10 tabs.,ultra vitamin c,500 mg,tabs
ultra woman 50 plus 120 coated caplets (illegal import),ultra woman 50 plus,0,coated caplets
ultra woman 50 plus 60 coated caplets (illegal import),ultra woman 50 plus,0,coated caplets
ultra zinc 30 tabs,ultra zinc,0,tabs
ultra-calce 30 caps.,ultra-calce,0,caps
ultra-medanine 0.03g/15ml local paint 15 ml,ultra-medanine,0.03 g/15 ml,local paint
ultra-medanine 10mg 20 caps.,ultra-medanine,10 mg,caps
ultra-meladinine .10mg-20cap,ultra-meladinine,0.10 mg,cap
ultra-vit 20 cap,ultra-vit,0,cap
ultra-vit plus 20 cap,ultra-vit plus,0,cap
ultracaine 20mg/ml vial 50 ml,ultracaine,20 mg/ml,vial
ultracaine 5% gel 30 gm,ultracaine,5%,gel
ultracarbon 20 tab,ultracarbon,0,tab
ultracare cream 30 gm,ultracare,0,cream
ultracef 0.25gm vial,ultracef,0.25 gm,vial
ultracef 125 mg 60 ml susp.,ultracef,125 mg,susp
ultracef 1gm vial,ultracef,1 gm,vial
ultracef 250mg 12 cap,ultracef,250 mg,cap
ultracef 250mg susp 60 ml,ultracef,250 mg,susp
ultracef 500mg 12 cap,ultracef,500 mg,cap
ultracef 500mg vial,ultracef,500 mg,vial
ultracillin 1500mg vial,ultracillin,1500 mg,vial
ultracillin 375mg vial,ultracillin,375 mg,vial
ultracillin 750mg vial,ultracillin,750 mg,vial
ultracipro e.r. 1 gm 5 f.c. tabs.,ultracipro e.r.,1 gm,tabs
ultradol 100mg 3 amp.,ultradol,100 mg,amp
ultradol 100mg 6 supp.,ultradol,100 mg,supp
ultradol 150mg 12 tab,ultradol,150 mg,tab
ultrafulvin 125mg 25 tab.,ultrafulvin,125 mg,tab
ultragriseofulvin 125mg 20 tab,ultragriseofulvin,125 mg,tab
ultragriseofulvin 2.5 g/100 ml susp. 100ml,ultragriseofulvin,2.5 g/100 ml,susp
ultralan 5 mg 10 tab,ultralan,5 mg,tab
ultramox 1 gm 12 f.c. tabs.,ultramox,1 gm,tabs
ultramox 625mg 12 f.c. tabs.,ultramox,625 mg,tabs
ultranyl 20 capsules,ultranyl,0,capsules
ultrasoft cream 50 gm,ultrasoft,0,cream
ultrasolv 10 f.c. tab,ultrasolv,0,tab
ultrasolv syrup 120ml,ultrasolv,120 ml,syrup
ultravist-300 vial 50 ml,ultravist-300,50 ml,vial
ultravist-370 (aqueous solution) 50 ml vial,ultravist-370,50 ml,vial
ultrawhey pro powder 300 g,ultrawhey pro,0,powder
uman albumin 20% i.v. inf. 1 vial 50 ml,uman albumin,20%,vial
umastar eye drops 10 ml,umastar,10 ml,eye drops
umatone 30 sachets,umatone,0,sachets
