drug_name,dose,form
alkor,20 mg,tab.
alkor,40 mg,tab.
alkor plus,10/20 mg,tab.
alkor plus,10/40 mg,tab
alkyloxan,500 mg,vial
all one vitamin c,1000 mg,tabs.
all one zinc,50 mg,tabs.
all-care,30 gm,cream
all-vent,125 ml,syrup
allear,2.5 mg/5 ml,syrup
allear,5 mg,tabs.
allerase,Null,capsules
allerban,1 mg/5 ml,syrup
allerban s.r.,2 mg,tabs.
allercet,Null,caps
allercet cold,Null,caps
allerdep,60 ml,nasal spray
allerease,Null,cap
allerex,60 mg,tabs.
allerfen,120 mg,tabs.
allerfen,120 mg,tabs.
allerfen,180 mg,tabs.
allerfen,60 mg,tab.
allergest,Null,tab
allergetone,10 mg,tabs.
allergex,1.5 %,cream
allergex,20 mg,tab.
allergex caffeine,Null,tab.
allergex h,20 gm,cream
allergicasone,125/50 mcg,nasal spray
allergiraz,10 mg,disintegrating tabs.
allergiraz,5 mg/5 ml,syrup
allergstop,2.5 mg/5 ml,syp.
allergstop,50 mg/100 ml,syp
allergstop,5 mg,tab
allergyl,2 %,topical cream
allergyl,2 mg/5 ml,syrup
allergyl,4 mg,tabs.
allergyl,4 mg,tabs.
allergyna,120 mg,tab.
allerzone,0.1 %,cream
allerzone,0.1 %,oint.
allerzone,0.1 %,topical lotion
allevo,5 mg,tab.
alliance,50 gm,cream
alliaveratol,Null,tablet
allinphi adult,Null,tabs
allioglucin,Null,capsule
allmed b12,900 mcg,oral spary
allmed d3 adult,3000 IU,oral spray
