original_name,drug_name,dose
aqua-cure syrup 120 ml,aqua-cure syrup,120 ml
aquacare gel 15 gm,aquacare gel,15 gm
aquacare gel 50 gm,aquacare gel,50 gm
aquagen solutio 20 ml,aquagen solutio,20 ml
aqualarm u.p. intensive eye drops 10 ml,aqualarm eye drops,10 ml
arabzinc 50 mg 30 tabs.,arabzinc,50 mg
aranesp 150mcg 4 pref. syringe,aranesp,150mcg
arginogo 30 f.c. tabs.,arginogo,30 tabs
arginoxir 30 sachets,arginoxir,30 sachets
arkotrue 20 tabs.,arkotrue,20 tabs
aromega 60 mg gel,aromega,60 mg
arthicart 20 f.c tabs,arthicart,20 tabs
arthojo 30tabs,arthojo,30 tabs
arthrohold 400 mg 30 capsules,arthrohold,400 mg
arthrohold plus 30 caps.,arthrohold plus,30 caps
articulus capsule,articulus capsule,0
ascocitrin c 20 tablet,ascocitrin c,20 tablet
ascorbacil 1 gm 20 immediate rel. tabs.,ascorbacil,1 gm
aselia life extensive lightening cream 30 gm,aselia life extensive lightening cream,30 gm
asena b complex 30 sublingual tablets,asena b complex,30 tablets
aseropix 20 cap,aseropix,20 cap
ashwagandha 500 mg 30 capsules,ashwagandha,500 mg
ashwaherb 30 hgc,ashwaherb,30 hgc
asmalair 5mg 10 tab.,asmalair,5mg
aspico 81mg 30 chewable tabs.,aspico,81mg
aspicure-combi 10 f.c. tabs.,aspicure-combi,10 tabs
astrantia joint support 120 tablets,astrantia joint support,120 tablets
astrantia joint support 60 tablets,astrantia joint support,60 tablets
atcovildumet 50/1000 mg 30 f.c.tabs.,atcovildumet,50/1000 mg
atcovomset 4mg/2ml 3 amps.,atcovomset,4mg/2ml
atcovomset 8mg/4ml 3 amps.,atcovomset,8mg/4ml
ateno-c 50/25mg 20 tab.,ateno-c,50/25mg
atlabacillus oral drops 15 ml,atlabacillus oral drops,15 ml
atlantofolate 30 tabs,atlantofolate,30 tabs
atmiprazole 20 mg 30 caps.,atmiprazole,20 mg
atmiprazole 40 mg 30 caps.,atmiprazole,40 mg
atrakta re-force hair ampoules,atrakta re-force hair ampoules,0
attoveloce calamine lotion,attoveloce calamine lotion,0
attoveloce diaper cream 50 gm,attoveloce diaper cream,50 gm
attoveloce panthenol 50 gm gel,attoveloce panthenol,50 gm
avanosa brandy 30 ml spray,avanosa brandy,30 ml
avant care omega,avant care omega,0
avantofer,avantofer,0
avary facial cleanser 250  ml,avary facial cleanser,250 ml
avastin 100mg/4ml i.v. vial,avastin,100mg/4ml
avasting 100mg/4ml i.v. vial,avasting,100mg/4ml
averosomnia 3 mg 20 f.c. tabs.,averosomnia,3 mg
aviatan 20 chewable tablets,aviatan,20 tablets
avobeano 10 capsules,avobeano,10 capsules
avorend 30 f.c. tabs,avorend,30 tabs
