original_name,drug_name,dose,form
peritoneal dialysis sol. with glucose 3.86 % w/v,peritoneal dialysis sol. with glucose,3.86 % w/v,sol
peritoneal dialysis soln.with glucose 2.27 % w/w,peritoneal dialysis soln. with glucose,2.27 % w/w,soln
peritoneal dialysis solution ( lactate ) in glucose 7%,peritoneal dialysis solution (lactate) in glucose,7%,solution
peritoneal dialysis solution (acetate) in 1.7% glucose (1000ml),peritoneal dialysis solution (acetate) in glucose,1.7%,solution
peritoneal dialysis solution (acetate) in 1.7% glucose (2000ml),peritoneal dialysis solution (acetate) in glucose,1.7%,solution
peritoneal dialysis solution (acetate) in glucose 1.5% (1000ml),peritoneal dialysis solution (acetate) in glucose,1.5%,solution
peritoneal dialysis solution (acetate) in glucose 1.5% (2000ml),peritoneal dialysis solution (acetate) in glucose,1.5%,solution
peritoneal dialysis solution (lactate) in glucose 1.36% (1000ml),peritoneal dialysis solution (lactate) in glucose,1.36%,solution
peritoneal dialysis solution (lactate) in glucose 1.36% (2000ml),peritoneal dialysis solution (lactate) in glucose,1.36%,solution
peritoneal dialysis solutionl lactate in glucose 4.25 % (1000ml),peritoneal dialysis solution lactate in glucose,4.25 %,solution
peritoneal dialysis solutionl lactate in glucose 4.25 % (2000ml),peritoneal dialysis solution lactate in glucose,4.25 %,solution
peritoneal dialysis/ glucose 4.25% sol /1000 ml,peritoneal dialysis/ glucose,4.25%,sol
perjeta 420mg/14ml vial for i.v. inf.,perjeta,420mg/14ml,vial
perloc 40mg 14 f.c.tab.,perloc,40mg,tab
perloc 40mg powder for i.v. inf. vial,perloc,40mg,powder
permax 100mg/5ml susp. 30ml,permax,100mg/5ml,susp
permax 30 ml susp,permax,0,susp
permenganate lotion,permenganate,0,lotion
permethrin adult 5% 20 gm cream,permethrin adult,5%,cream
permethrine inf 2.5 % 20 gm cream,permethrine inf,2.5 %,cream
permixon 80 mg- 60 tab,permixon,80 mg,tab
perny cream 75 gm,perny,0,cream
perox mouth wash,perox,0,mouth wash
perox spray,perox,0,spray
perroxy 15ml drops,perroxy,0,drops
perroxy 6.5% ear drops 15 ml,perroxy,6.5%,ear drops
persantin 75mg 20 tab.,persantin,75mg,tab
persantin plus- 75 mg- 20 tab,persantin plus,75 mg,tab
perunity 100 mg 10 sachets,perunity,100 mg,sachets
pethidine 100mg/2ml 1 amp. (net price),pethidine,100mg/2ml,amp
pethidine 50mg/ml 10 amp. (net price),pethidine,50mg/ml,amp
petro 30 tab,petro,0,tab
pettix cream 50 gm,pettix,0,cream
pevaryl 1% topical cream 15 gm,pevaryl,1%,cream
pevaryl 15g cream,pevaryl,0,cream
pevaryl- 1% 20 gm- powder,pevaryl,1%,powder
pevaryl- 150 gm- spray solution,pevaryl,0,spray solution
pevisone cream 15 gm,pevisone,0,cream
pexal-400 depotabs s.r. 20 tab.,pexal,400mg,depotabs s.r. tab
pexo soap 80 gm,pexo,0,soap
pexo topical lotion 50 gm,pexo,0,lotion
pexonamide 14 mg 30 tab,pexonamide,14 mg,tab
phara fero 18 - 20 caps.,phara fero 18,0,caps
phara fero 18 - 30 caps.,phara fero 18,0,caps
phara fero 18 plus - 20 caps.,phara fero 18 plus,0,caps
phara fero 27 - 20 chocolate pills,phara fero 27,0,chocolate pills
phara fero 27 plus - 20 chocolate pills,phara fero 27 plus,0,chocolate pills
pharco-vap oint.,pharco-vap,0,oint
pharcobenzyl 25% lotion 120 ml,pharcobenzyl,25%,lotion
pharcocinolone 40mg/ml i.m amp.,pharcocinolone,40mg/ml,amp
