drug_name,dose,form
aqua-mix,100 ml,syrup
aqua-pen,1 m.i.u.,vial
aquagen,20 ml,solution
aquagen,60 ml,solution
aqualarm intensive ud,0.5 ml,eye drops
aquaprecis eye contour,15 ml,0
aquaprecis mask,40 ml,0
ar-eze,0,tablets
arabcofloroquin,200 mg/100 ml,vial
arabzinc,0,tablets
aracytin,100 mg/5 ml,vial
aranesp,100 mcg,syringe
aranesp,10 mcg,syringe
aranesp,150 mcg,syringe
aranesp,15 mcg,syringe
aranesp,20 mcg,syringe
aranesp,300 mcg,syringe
aranesp,30 mcg,syringe
aranesp,40 mcg,syringe
aranesp,500 mcg,syringe
aranesp,60 mcg,syringe
aranesp,80 mcg,syringe
aratins,25 mg,tablets
araxcalferol d3,0,tablets
araxileve,5 mg,tablets
arbateg,2 %,suspension
arbateg,200 mg,tablets
arbateg,400 mg,tablets
arca-zinc,0,capsules
arcalion,200 mg,tablets
arcalion forte,400 mg,tablets
arcechima,300 mg,tablets
arcotec massage,0,cream gel
arcoxia,120 mg,tablets
arcoxia,60 mg,tablets
arcoxia,90 mg,tablets
ardiolazin,100 mg,tablets
ardiolazin,25 mg,tablets
ardiolazin,50 mg,tablets
ardoximag,40 mg,tablets
arena massage,75 gm,cream
arepexane,10 mg,tablets
arepexane,30 mg,tablets
argecta,1000 mg,tablets
argento clear facial,200 ml,cleanser
argento eye contour,15 gm,cream
argento eye contour,30 gm,cream
argento night,30 gm,cream
argento night,60 gm,cream
argento profit sunscreen 50+ spf,100 ml,lotion
